Magnitude	Depth	Distance(km)	Vs30	CDI	Instrumental_intensity
5.2	12.3	96.16187654	339.7192383	3.6	3.60755
5.2	12.3	95.95394365	352.5155029	3.3	4.20417
5.2	12.3	99.1704915	372.5123901	4.1	4.24587
5.2	12.3	86.81726491	337.2677002	3.1	3.30032
5.2	12.3	77.01756454	433.7144165	3.4	4.39882
5.2	12.3	112.4444632	331.7449951	3.6	3.2397
5.2	12.3	95.22035802	437.3135986	3.4	3.72343
5.2	12.3	91.6524411	479.6478882	2.6	3.59977
5.2	12.3	101.0317743	361.2475891	3.1	3.80902
5.2	12.3	36.75928465	238.7032471	4.6	5.96203
5.2	12.3	42.62028252	260.6421814	2.7	5.08436
5.2	12.3	49.75742997	731.078064	4.1	3.94478
5.2	12.3	60.09346802	643.3546753	4.1	4.13116
5.2	12.3	59.71038928	339.5283508	4.6	5.5263
5.2	12.3	20.02056842	282.4550476	3.1	5.81896
5.2	12.3	29.810512	387.0570374	3.9	6.40859
5.2	12.3	34.97050602	222.4479523	5.4	5.73644
5.2	12.3	40.17827915	237.7683868	3.4	6.03186
5.2	12.3	26.46638938	388.2885742	6	5.63645
5.2	12.3	61.98058561	255.2074432	4.1	6.69587
5.2	12.3	35.95182497	232.7965088	4.8	6.07941
5.2	12.3	73.96857825	326.5749512	3.7	4.58424
5.2	12.3	57.12263824	326.3528137	5.1	4.56882
5.2	12.3	29.65502222	385.0278625	4.1	6.33173
5.2	12.3	36.80862474	251.4450684	4.9	6.19883
5.2	12.3	33.78821145	238.2844238	4.5	6.05905
5.2	12.3	132.4826177	247.7007751	3.3	3.74635
5.2	12.3	113.8859254	361.8728333	2.2	3.24606
5.2	12.3	95.67187155	324.194397	4	4.70719
5.2	12.3	63.75947211	340.3367615	4.8	5.25677
5.2	12.3	65.79665335	505.5352783	3.3	3.42958
5.2	12.3	76.96576897	346.5889893	3.6	4.63876
5.2	12.3	81.82944791	635.4987183	3.4	4.08864
5.2	12.3	79.82581853	361.1778259	4.3	4.6047
5.2	12.3	111.1385537	372.4888306	3.6	3.39668
5.2	12.3	117.333699	383.594574	3.3	3.73882
5.2	12.3	109.1978448	375.5310974	2.7	3.93917
5.2	12.3	85.61224889	478.0640564	3.5	3.7205
5.2	12.3	74.35914613	350.4143066	3.7	4.2835
5.2	12.3	79.84920186	647.4015503	3.4	4.25504
5.2	12.3	133.2584388	332.2532654	2.7	3.44927
5.2	12.3	66.07182945	367.6837158	3.3	5.85539
5.2	12.3	126.0181241	255.94104	3.4	3.06445
5.2	12.3	111.95859	364.416687	3.4	3.44737
5.2	12.3	142.9777592	278.2893066	2.5	4.09353
5.2	12.3	148.3913862	249.9461212	2.8	3.60507
5.2	12.3	146.7533714	232.7233734	3.4	3.33319
5.2	12.3	137.194992	234.453598	2.5	3.54168
5.2	12.3	136.4355195	210.7472229	2.9	3.14708
5.2	12.3	110.8288684	350.7228394	3.1	3.72944
5.2	12.3	103.178513	346.9151611	4.1	4.06495
5.2	12.3	96.2716838	633.2290649	3.1	3.88595
5.2	12.3	113.8956283	354.9957886	4.1	3.89002
5.2	12.3	86.49544098	448.3444214	3.6	2.94546
5.2	12.3	72.44820583	398.217804	4.6	4.92812
5.2	12.3	90.01885425	267.3979187	4.3	5.41024
5.2	12.3	82.88444961	569.7111816	3.6	3.45701
5.2	12.3	74.63064819	456.2001038	3.4	3.61354
5.2	12.3	161.2104903	291.0671692	2.2	3.51586
5.2	12.3	168.731332	265.4923401	2.9	3.44324
5.2	12.3	80.66338163	361.7615051	3.4	4.19834
5.2	12.3	98.2962652	341.219574	3.4	3.50642
5.2	12.3	76.76511949	376.6034241	2.5	3.6184
5.2	12.3	151.4142426	360.4372864	3.1	3.56432
5.2	12.3	87.50858675	307.4013977	2.7	4.13441
5.2	12.3	135.2565658	347.0202026	2.6	3.54806
5.2	12.3	104.5158491	370.8678894	3.6	4.61641
5.2	12.3	118.0846128	384.4096069	3.4	3.7762
5.2	12.3	140.5133213	400.6134949	3.1	3.88072
5.2	12.3	135.4207857	347.7689514	3.1	3.19673
5.2	12.3	127.214203	370.1980896	4.8	3.50747
5.2	12.3	98.87638545	245.0027771	3.8	4.09259
5.2	12.3	141.7607565	373.9614258	3.4	3.49758
5.2	12.3	154.0793388	307.8835144	3.3	3.34359
5.2	12.3	126.6964095	348.6685181	3.3	4.06422
5.2	12.3	139.2681402	346.5249023	3.1	3.78665
5.2	12.3	105.5736202	265.4009705	2.6	4.32886
5.2	12.3	108.0840149	278.9410706	2.7	3.95079
5.2	12.3	155.5097766	303.2130737	3.4	3.181
5.2	12.3	107.4161578	276.9137878	3.4	4.02341
5.2	12.3	150.6226231	376.3748169	3.7	3.69074
5.2	12.3	142.5408887	343.1554871	3.8	4.51763
5.2	12.3	154.7767205	342.444458	2.7	3.51998
5.2	12.3	85.38933326	332.5693359	3.8	4.07605
5.2	12.3	146.9943619	350.4064026	3.8	4.08562
5.2	12.3	142.1102356	397.1170654	3.4	3.40437
5.2	12.3	141.1971671	355.067627	2.4	3.08049
5.2	12.3	177.3273044	444.5438538	2.6	3.25503
5.2	12.3	174.141165	419.2765808	2.9	3.42723
5.2	12.3	163.922789	272.175293	2.6	3.1244
5.2	12.3	186.1188826	384.3681335	3.3	3.13684
5.2	12.3	154.2767416	364.6400757	3.4	2.92525
5.2	12.3	102.3052066	326.3209534	3.6	3.36382
5.2	12.3	73.72197059	329.8565979	3.8	4.2313
5.2	12.3	148.4199569	236.7275543	2.2	2.90247
5.2	12.3	107.8369842	282.5281982	2.7	3.92892
5.2	12.3	130.6329133	324.7414246	3.1	3.79189
5.2	12.3	57.7867755	768.1463013	3.4	3.58297
5.2	12.3	159.8606385	240.5567322	3.3	2.94334
5.2	12.3	86.57644605	483.7773132	2.7	4.58588
5.2	12.3	41.86712711	298.5339355	3.7	5.26501
5.2	12.3	43.05641152	794.8417358	4	5.8656
5.2	12.3	115.2681845	650.864502	2.7	4.24189
5.2	12.3	179.5596996	460.4161377	4.1	2.49488
5.2	12.3	36.56239506	552.5709229	2.7	5.2092
5.2	12.3	141.7876135	210.3031006	3.1	3.3404
5.2	12.3	102.1756308	467.4589233	5.4	2.70695
5.2	12.3	167.9873164	256.1272888	3.1	2.66952
5.2	12.3	95.77945327	615.2298584	2.7	2.59738
5.2	12.3	43.46469768	244.1423798	5.6	6.70221
5.2	12.3	123.3912911	342.9169922	2.7	3.27392
5.2	12.3	148.4215968	330.0684509	3.8	3.72887
5.2	12.3	134.4183801	368.5725403	2.2	2.43478
5.2	12.3	85.21345259	341.170105	3.4	3.64237
5.2	12.3	57.88726202	339.9762573	4.2	6.18102
5.2	12.3	44.70005683	458.697998	5.2	4.29748
5.2	12.3	203.4296579	407.8809204	2.7	2.57984
5.2	12.3	75.31973727	339.5799866	3.8	4.74369
5.2	12.3	42.29752606	656.2021484	4.1	5.79245
5.2	12.3	135.717554	365.0758972	4.1	3.49717
5.2	12.3	80.52957901	704.1832886	3.4	3.0556
5.2	12.3	107.3716239	326.5565796	3.5	4.0288
5.2	12.3	56.07422859	505.9462891	3.1	4.5701
5.2	12.3	83.42242591	730.2052612	3.4	3.44529
5.2	12.3	70.38241673	684.6856689	2.8	4.22933
5.2	12.3	158.3939349	408.8318787	2.2	2.87972
5.2	12.3	111.349512	474.4078979	3.1	3.41096
5.2	12.3	101.5180344	356.0565796	3.7	3.97863
5.2	12.3	101.5180344	356.0565796	3.7	4.61826
5.2	12.3	106.4724906	343.7855225	3.1	2.73578
5.2	12.3	115.1716769	682.8892822	2.9	3.22035
5.2	12.3	113.8374702	328.0511475	2.5	2.73581
5.2	12.3	96.8614094	365.6439514	3.9	3.47165
5.2	12.3	90.281606	374.7896118	4.3	3.22535
5.2	12.3	132.2043705	379.2944641	2.2	2.58279
5.2	12.3	114.8660557	729.5418091	5.3	2.71434
5.2	12.3	125.5613423	249.5291443	3.6	3.0212
5.2	12.3	25.64494373	544.9383545	5	4.9888
5.2	12.3	153.5178413	326.0332947	2.9	3.45215
5.2	12.3	219.8934709	369.8778381	2.2	2.9273
5.2	12.3	85.13282308	389.3578491	3.1	3.31553
5.2	12.3	97.69965218	655.1583252	3.8	3.10953
5.2	12.3	82.576063	564.7987671	3.1	3.91118
4.8	26.2	32.51220301	716.3883057	3.1	2.93591
4.8	26.2	25.97120676	381.6695862	3.3	4.99581
4.8	26.2	30.1605289	302.3868103	3.6	4.68756
4.8	26.2	22.21740929	305.6228638	3.7	6.21808
4.8	26.2	29.35917547	330.0172119	3.1	3.50538
4.8	26.2	35.43646503	295.9392395	3.8	3.76344
4.8	26.2	26.65529829	326.0591125	3.4	5.90008
4.8	26.2	26.19235454	319.0614319	3.1	6.20561
4.8	26.2	26.29992802	381.6695862	3.6	4.75292
5.1	14.5	46.88217207	485.8609009	3.2	3.71338
5.1	14.5	61.4042446	495.5513611	3.4	4.1817
5.6	28.6	123.7859727	295.9392395	3.2	3.40726
6.6	8.5	173.7806365	381.6695862	2.9	3.52441
6.6	8.5	177.1086446	302.3868103	2.7	4.06635
6.6	8.5	240.7131731	375.9786377	2.7	1.72725
6.6	8.5	304.7111373	397.1264954	3.1	1.01642
6.6	8.5	450.9528439	366.4014282	2.2	1.31584
6.6	8.5	471.240936	135.9298096	2.5	1.86257
6.6	8.5	465.7952936	176.8080139	2.7	1.32109
6.6	8.5	467.3745879	162.3343201	2.7	1.28975
6.6	8.5	226.324718	598.0163574	3.1	2.19347
6.6	8.5	163.7111229	295.9392395	4.3	5.24167
6.6	8.5	170.5683838	326.0591125	3.3	3.4394
6.6	8.5	155.8991276	455.082489	3.1	3.93285
6.6	8.5	438.6553236	390.04599	2.3	1.01013
6.6	8.5	444.6677115	360.775177	2.5	1.09355
6.6	8.5	449.9674546	260.2002869	2.2	1.2028
5	1.5	11.92952602	705.2844238	5	4.58519
5	1.5	14.33105116	735.9973755	3.1	4.70914
5	1.5	16.19022683	607.1395264	3.5	3.96293
5	1.5	23.06351628	335.6530151	3	3.46764
5	1.5	47.52710705	361.2301025	3	2.45799
5	1.5	13.33401412	738.512146	4.1	4.34999
5.6	12.2	136.0302349	719.1208496	4.1	2.41034
5.6	12.2	83.86368494	563.161438	3.8	2.86301
5.6	12.2	84.39815747	564.328125	3.4	4.00172
5.6	12.2	81.60026391	491.5884705	3.1	3.57819
5.6	11.3	135.4309743	719.1208496	3.8	1.95647
5.6	11.3	67.67455351	718.9002686	4.2	2.84627
5.6	11.3	52.90599775	621.2912598	4.3	4.49402
5.6	11.3	80.44933627	546.62323	3.4	3.26311
5.6	11.3	82.83187804	564.328125	3.4	3.59177
5.6	11.3	80.03422421	491.5884705	3	3.16611
5.1	26.5	3.117245088	305.6228638	2.9	2.69907
4.1	9.7	4.033436647	697.6766968	2.9	4.08395
4.1	9.7	8.563854307	360.6856079	3.5	4.14958
4.1	9.7	14.2709648	449.8655701	2.7	3.4668
4.1	9.7	8.055984597	372.9031372	3.4	3.65725
4.1	9.7	17.27719261	633.2354126	2.5	2.07118
4.1	9.7	15.4514536	269.8367615	2.8	2.74767
4.6	6.3	35.32585431	391.2676697	3.1	3.11445
4.6	6.3	35.88539905	284.6450806	3.2	3.21732
4.6	6.3	47.40695508	290.6101685	3.4	3.46631
4.6	6.3	23.78767397	268.8490601	3.4	3.40413
4.6	6.3	22.4251988	269.1831665	2.6	3.71835
4.6	6.3	27.71451793	296.20047	4.4	4.77596
4.6	6.3	35.55180776	313.0909424	3	3.47668
4.6	6.3	47.91623045	271.9423218	2.2	3.00257
4.6	6.3	24.94592843	744.5981445	3.4	3.6456
4.6	6.3	60.26081711	635.0424194	2.7	2.39276
4.6	6.3	28.26942181	296.20047	4.4	5.43712
4.6	6.3	30.93031287	256.1872253	3.5	3.97367
4.4	21.3	2.975058776	461.2825012	2.7	2.91184
4.4	21.3	2.540887601	461.82724	2.7	4.53006
4.4	21.3	2.460424078	544.0830078	3.7	4.73729
4.4	21.3	50.17398906	361.6425476	2.7	2.23613
4.4	21.3	78.61276439	697.6766968	2.2	2.22386
4.4	21.3	9.699181718	250.5726166	3.9	5.02912
4.4	21.3	72.03242373	623.447998	2.8	3.17488
4.4	21.3	101.5518734	329.2424927	2.2	2.88976
4.4	21.3	42.06697036	271.8780518	3.3	3.19603
4.4	21.3	61.81840429	359.690918	3.3	3.00585
4.4	21.3	42.03479683	272.3283691	3.6	4.08793
4.4	21.3	76.38549198	360.6856079	3.3	3.01494
4.4	21.3	46.02889386	277.3362122	3.1	2.99457
4.4	21.3	45.70715766	340.1018677	3.7	3.37893
4.4	21.3	31.60026121	477.2327271	3.9	3.41559
4.4	21.3	24.83868204	443.7919006	2.8	3.67627
4.4	21.3	42.92162281	273.0883484	2.5	2.62854
4.4	21.3	36.70103397	256.6106567	3.4	4.22814
